,district,HouseType,Building,Object status,Location of the house,Object location,House type,The floor,Usable area,Land area,Parking,Year of reconstruction,Water,Transport,Energy efficiency of the building,Equipment,Lift,companyName,proximityIndex,Index,Built-up area,Store,Garage,Gas,Garden area,Year of approval,Swimming pool,Cena,Floor area,Indicator of energy efficiency of the building,Certificate of energy performance of the building,Barrier-free,Ceiling height,Housing costs,Number of flats,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,The date of the 1st inspection,The date of the 2nd inspection,Auction decree,Expert opinion.1,Pool area,Condition,Date of completion of construction,Soil construction,Sale start date,Inspection date,Inspection date to,Minimum purchase price,Share size,Number of owners,locationLat,locationLong,price,lokální plynové,heating_unknown,ústřední plynové,lokální tuhá paliva,jiné,lokální elektrické,ústřední tuhá paliva,ústřední elektrické,ústřední dálkové,podlahové,veřejná kanalizace,jímka,čov pro celý objekt,septik,garbage_unknown,trativod,230v,400v,electricity_unknown,120v,telecommunication_unknown,telefon,internet,kabelové rozvody,satelit,kabelová televize,ostatní,communication_unknown,asfaltová,neupravená,dlážděná,betonová,zpevněná,šotolina,štěrková,provize,právního,dph,poplatků,cena k jednání
1197,plzen,"chaty
",Montovaná,Velmi dobrý,Samostatný,,Patrový,2 včetně 1 podzemního,83,388.0,,,Místní zdroj,"Vlak, Silnice, Autobus",Třída G - Mimořádně nehospodárná,,,"Broker Consulting, a.s.",956.7272727272727,1220,38.0,5 m2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6405239,13.5199089,3500000,,,,True,,,,,,,,,,True,,,True,,,,True,,,,,,,,True,,,,,,,,,,,
539,sokolov,"rodinne-domy
",Cihlová,Dobrý,Samostatný,,Patrový,3,221,2606.0,,,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,,K real,3630.8888888888887,546,110.0,1,,,,,,,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2431063,12.6370405,5500000,,True,,,,,,,,,,,,True,,,,,True,,True,,,,,,,True,,,,,,,,,,,,
6732,praha-9,"rodinne-domy
",Smíšená,Před rekonstrukcí,Samostatný,,Patrový,2 včetně 1 podzemního,250,452.0,,,"Místní zdroj, Studna","Vlak, Dálnice, Silnice, MHD",Třída G - Mimořádně nehospodárná,0,,Jaroš & Partners Real Estate,1145.7,6955,,130 m2,,Plynovod,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1505856,14.5228386,11975300,,,,,,,True,,,,,,,,True,,True,True,,,True,,,,,,,,True,,,,,,,True,True,True,True,
14114,vsetin,"chaty
",Dřevěná,Dobrý,Samostatný,Klidná část obce,Patrový,2,110,719.0,1.0,,Studna,"Vlak, Silnice, Autobus",Třída G - Mimořádně nehospodárná,,,OKNO NEMOVITOSTÍ,788.2727272727273,14588,88.0,,,,631.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.2030305,18.0512996,3600000,,,,,,True,True,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,,,,,,
11716,blansko,"rodinne-domy
",Smíšená,Dobrý,Řadový,Klidná část obce,Přízemní,2 včetně 1 podzemního,80,196.0,1.0,,Dálkový vodovod,"Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,2174.375,12095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5774125,16.7248023,1300000,,,,True,,,,,,,,,,,True,,True,,,True,True,,,,,,,True,,,,,,,,True,,,,
5188,praha-zapad,"rodinne-domy
",Cihlová,Velmi dobrý,Samostatný,,Přízemní,2 včetně 1 podzemního,649,1917.0,1.0,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,1,0.0,Bohemian Estates,1620.8947368421052,5343,611.0,,,,,,,,649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0010124,14.5552518,69000000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
14325,zlin,"chaty
",Dřevěná,Velmi dobrý,Samostatný,Klidná část obce,Přízemní,1,40,1.0,,,,,Třída B - Velmi úsporná,,,AGENTURA ZVONEK,498.27777777777777,14806,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2328506,17.6742697,1265660,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,True,,
5203,praha-zapad,"rodinne-domy
",Cihlová,Novostavba,Samostatný,Klidná část obce,Přízemní,1,198,708.0,6.0,,Dálkový vodovod,"Dálnice, Silnice, MHD, Autobus",Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Částečně,,RK Nemovite,984.0714285714286,5360,198.0,,1.0,Plynovod,,2016.0,,,,"16,1 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,,,,,,,49.9683849,14.5222888,17600000,,,True,,,,,,,,True,,,,,,True,True,,,,,True,,,,,,True,,,,,,,True,True,,,
10882,ceska-lipa,"rodinne-domy
",Cihlová,Velmi dobrý,Samostatný,Klidná část obce,Patrový,5 včetně 2 podzemních,320,715.0,2.0,2015.0,Dálkový vodovod,"Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,603.4375,11233,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6600954,14.7187922,8000000,,,,True,True,,,,True,,True,,,,,,True,True,,,,True,True,,,,,True,,,,,,,,,,,,
13620,sumperk,"rodinne-domy
",Cihlová,Dobrý,Samostatný,Klidná část obce,Patrový,2 včetně 1 podzemního,230,692.0,1.0,,Dálkový vodovod,"Silnice, MHD",Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0,,NEXT REALITY DŮM SNŮ,1528.7777777777778,14076,,1,1.0,Plynovod,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.8747685,16.8474481,5490000,True,,,True,,,,,,,True,,,,,,True,,,,True,,,,,,,,True,,,,,,,,,,,
